longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
0.21713147410358502,-0.6939426142401706,0.4117647058823528,-0.9392644590264001,-0.8873370577281192,-0.9092463353793547,-0.8927807926327906,-0.775851367567344,-1.0
-0.6932270916334673,0.17747077577045722,-0.2941176470588236,-0.9179510656696679,-0.8867163252638113,-0.954483029232882,-0.8894918598914652,-0.5915918401125502,1.0
0.44820717131474197,-0.9596174282678005,0.3725490196078429,-0.8306628007528358,-0.8007448789571695,-0.8934947728355614,-0.7957572767636902,-0.5589716003917187,1.0
0.29083665338645304,-0.708820403825718,-0.41176470588235303,-0.8762907574139072,-0.8590937306021105,-0.9431598419238206,-0.8437756947870416,-0.4870553509606764,-1.0
-0.40039840637450297,0.15834218916046794,-0.4901960784313726,-0.8418536039473015,-0.845747982619491,-0.9341349253062025,-0.8276599243545469,-0.16468738362229474,-0.33333333333333337
-0.025896414342629015,-0.29436769394261386,-0.17647058823529416,-0.9110839818912457,-0.8842333954065797,-0.9377785251828806,-0.8891629666173326,-0.8613674294147667,-0.33333333333333337
-0.06374501992032222,-0.1965993623804465,-0.607843137254902,-0.9342794648761381,-0.9028553693358163,-0.9602006782701308,-0.9049498437756948,-0.8560847436587082,-0.33333333333333337
-0.3665338645418359,0.30712008501594035,-0.8431372549019609,-0.6370110382013328,-0.6194909993792675,-0.8531348972785111,-0.6257194540371649,-0.2841064261182604,-0.33333333333333337
-0.5836653386454209,0.1285866099893731,0.9999999999999998,-0.8219136273462536,-0.7669149596523899,-0.9158608705400936,-0.7589212300608452,-0.6178535468476296,0.33333333333333326
-0.5378486055776897,0.14346439957492052,-0.13725490196078438,-0.8313240754870543,-0.8736809435133458,-0.9371619159729813,-0.8710738365400428,-0.16072881753355117,0.33333333333333326
0.16733067729083828,-0.685441020191285,0.05882352941176472,-0.8706444885294267,-0.7669149596523899,-0.913394433700496,-0.7770103601381352,-0.6672321761079157,-1.0
0.18127490039840666,-0.6769394261424004,0.5294117647058822,-0.8509079810773692,-0.824953445065177,-0.9397965189607331,-0.8240420983390889,-0.22031420256272316,-1.0
0.7490039840637444,-0.9489904357066941,-0.2549019607843138,-0.9220713159367211,-0.9273743016759777,-0.951343927800667,-0.9273145864167078,-0.20392822167970093,-0.33333333333333337
-0.6673306772908383,0.25398512221041436,0.3725490196078429,-0.9334147209929294,-0.9199255121042831,-0.963844278146809,-0.9121854958066108,-0.5924745865574268,-1.0
-0.2808764940239037,0.5472901168969173,-0.6862745098039217,-0.9006561880054936,-0.8767846058348852,-0.9836878836290254,-0.9602039138299622,-0.5229858898497951,-0.33333333333333337
0.11752988047808799,-0.6790648246546231,-0.2941176470588236,-0.8227275039422147,-0.78739913097455,-0.8442220914263292,-0.8082552211807268,0.023227265830816135,1.0
-0.4621513944223139,0.5345377258235917,0.17647058823529393,-0.918764942265629,-0.9016139044072006,-0.9556601922699627,-0.9006742312119718,-0.6551633770568681,-0.33333333333333337
0.408366533864541,-0.657810839532412,0.21568627450980382,-0.8897197212472658,-0.866852886405959,-0.954483029232882,-0.8684426903469824,-0.6308188852567551,-0.33333333333333337
0.17928286852589537,-0.6939426142401706,-0.2941176470588236,-0.5766824355257134,-0.5068280571073868,-0.836094060932201,-0.49449103765827984,-0.02860650197928294,-1.0
-0.06175298804781093,-0.1880977683315619,-0.5294117647058825,-0.8800549366702274,-0.8947858472998138,-0.9410297373805319,-0.8977141917447788,-0.3498710362615688,-0.33333333333333337
0.3266932270916314,-0.6790648246546231,-0.6470588235294119,-0.9047255709852994,-0.8867163252638113,-0.9410297373805319,-0.8809406347640191,-0.47221417635618823,-0.33333333333333337
-0.3027888446215137,0.107332624867162,-0.019607843137255054,-0.9986774505315631,-0.9990689013035382,-0.9996636677036912,-0.9986844269034698,-0.8448159335733301,-0.33333333333333337
0.286852589641434,-0.710945802337938,-0.13725490196078438,-0.9221221832239687,-0.9301675977653632,-0.9613217859244934,-0.9246834402236475,0.020413511537771933,-1.0
